timestamp,src_ip,src_port,dst_ip,dst_port,snd_cwnd,ssthresh,srtt_us,retransmissions,bytes_acked
1783205656,127.0.0.1,59780,127.0.0.1,5201,10,2147483647,400104,0,38
1783205657,127.0.0.1,59794,127.0.0.1,5201,10,2147483647,400106,0,1
1783205657,127.0.0.1,59780,127.0.0.1,5201,10,2147483647,400112,0,187
1783205658,127.0.0.1,59794,127.0.0.1,5201,10,2147483647,400099,0,65574
1783205658,127.0.0.1,59780,127.0.0.1,5201,10,2147483647,400112,0,187
1783205659,127.0.0.1,59794,127.0.0.1,5201,37,2147483647,400520,0,1081382
1783205659,127.0.0.1,59780,127.0.0.1,5201,10,2147483647,400112,0,187
1783205660,127.0.0.1,59794,127.0.0.1,5201,94,2147483647,400376,0,4618630
1783205660,127.0.0.1,59780,127.0.0.1,5201,10,2147483647,400112,0,187
1783205661,127.0.0.1,59794,127.0.0.1,5201,96,2147483647,400159,0,12908669
1783205661,127.0.0.1,59780,127.0.0.1,5201,10,2147483647,400112,0,187
1783205662,127.0.0.1,59794,127.0.0.1,5201,96,2147483647,400554,0,18938299
1783205662,127.0.0.1,59780,127.0.0.1,5201,10,2147483647,400112,0,187
1783205663,127.0.0.1,59794,127.0.0.1,5201,96,2147483647,404727,0,28047856
1783205663,127.0.0.1,59780,127.0.0.1,5201,10,2147483647,400112,0,187
1783205664,192.168.10.81,39448,64.233.186.84,443,10,2147483647,67444,0,6899
1783205664,127.0.0.1,59794,127.0.0.1,5201,96,2147483647,403734,0,33880507
1783205664,127.0.0.1,59780,127.0.0.1,5201,10,2147483647,400112,0,187
